time,re,x,y,U_x,U_y,p
6.0,761.2244897959184,0.3515625,0.5234375,-0.0758674,0.127643,-0.0115384
3.0,155.10204081632654,0.2109375,0.5390625,-0.0524441,0.118072,-0.013112
0.0,908.1632653061224,0.7734375,0.4296875,0.0,0.0,0.0
0.0,761.2244897959184,0.9765625,0.1015625,0.0,0.0,0.0
2.0,706.1224489795919,0.6796875,0.0390625,-0.0103186,-0.000453198,0.00313568
5.0,136.73469387755102,0.2578125,0.5078125,-0.0844126,0.157076,-0.0180673
10.0,283.6734693877551,0.1484375,0.1953125,-0.0338566,0.0350798,-0.000361352
4.0,412.2448979591837,0.3515625,0.1796875,-0.0424657,0.0126488,0.00088175
9.0,136.73469387755102,0.7578125,0.6328125,-0.188128,-0.281339,-0.0631331
7.0,155.10204081632654,0.2890625,0.0859375,-0.0331031,0.00727776,-0.00043011
8.0,136.73469387755102,0.9140625,0.8046875,-0.07999,-0.552703,0.0502644
7.0,412.2448979591837,0.0078125,0.0546875,-1.7176e-05,4.19806e-06,0.000100834
4.0,265.30612244897964,0.0703125,0.7890625,-0.0193939,0.124099,-0.0260893
1.0,724.4897959183675,0.6015625,0.6484375,-0.0546815,-0.00287257,-0.000191761
2.0,100.0,0.3203125,0.8515625,0.0280018,0.129,-0.0479797
0.0,981.6326530612246,0.5078125,0.5703125,0.0,0.0,0.0
7.0,834.6938775510205,0.3046875,0.7578125,0.0275084,0.139888,-0.0175541
6.0,265.30612244897964,0.6953125,0.0546875,-0.0137204,-0.00356393,0.00337993
2.0,1000.0,0.8046875,0.2890625,-0.0158655,-0.0164045,0.00390237
8.0,357.1428571428572,0.9140625,0.8671875,0.0274014,-0.419815,0.0444496
1.0,1000.0,0.0859375,0.1015625,-0.00226527,0.00269754,-1.21803e-05
0.0,981.6326530612246,0.7265625,0.3359375,0.0,0.0,0.0
2.0,761.2244897959184,0.2890625,0.3828125,-0.0214583,0.0194993,-0.000913312
9.0,706.1224489795919,0.9609375,0.8671875,-0.0533633,-0.615746,0.0385106
4.0,283.6734693877551,0.0546875,0.5390625,-0.00428261,0.0565778,-0.00933043
4.0,834.6938775510205,0.3984375,0.7578125,-0.0134065,0.0917858,-0.013402
6.0,963.265306122449,0.0390625,0.6484375,-0.000780473,0.0511939,-0.00876061
3.0,687.7551020408164,0.4609375,0.8203125,-0.0221505,0.0731271,-0.0148349
7.0,210.20408163265307,0.8984375,0.3046875,-0.0223104,-0.0432731,-0.00198638
9.0,963.265306122449,0.5546875,0.6640625,0.0695403,0.0729718,-0.0831849
0.0,908.1632653061224,0.4765625,0.4140625,0.0,0.0,0.0
3.0,210.20408163265307,0.8203125,0.7890625,-0.0286447,-0.252728,-0.0615607
9.0,595.9183673469388,0.8984375,0.2578125,-0.0139985,-0.0161397,-0.0020952
7.0,1000.0,0.3359375,0.8671875,0.04801,0.0843406,-0.0136634
9.0,687.7551020408164,0.3515625,0.9453125,0.214384,0.0445966,-0.0157172
8.0,540.8163265306123,0.1796875,0.0859375,-0.0169105,0.00623127,-8.14551e-05
10.0,357.1428571428572,0.4609375,0.6796875,0.0664406,0.151683,-0.0845993
1.0,614.2857142857143,0.9453125,0.0703125,-0.00123606,-0.00164048,0.004202
3.0,210.20408163265307,0.4921875,0.2265625,-0.0643611,0.00416636,0.00252766
4.0,210.20408163265307,0.8984375,0.6484375,-0.144983,-0.422621,-0.0164866
2.0,540.8163265306123,0.5546875,0.6328125,-0.0828297,0.034838,-0.0063217
0.0,614.2857142857143,0.5234375,0.9609375,0.0,0.0,0.0
0.0,687.7551020408164,0.4140625,0.1484375,0.0,0.0,0.0
4.0,393.8775510204082,0.9296875,0.1015625,-0.00125981,-0.00203132,0.00447849
9.0,797.9591836734694,0.1328125,0.8046875,0.00379903,0.132471,-0.0162339
9.0,687.7551020408164,0.9765625,0.8203125,-0.0400157,-0.516099,0.00231084
2.0,540.8163265306123,0.5390625,0.3828125,-0.0444999,0.00328926,0.00118535
1.0,595.9183673469388,0.8203125,0.1953125,-0.00934845,-0.008425,0.00427183
7.0,908.1632653061224,0.9765625,0.9921875,0.470735,-0.0866857,0.420477
